Data	Categoria	Origem	Total Líquido	Tipo de Receita
01/11/2022	Salário	IFS	R$ 3.248,59	Ativa
01/11/2022	FG	IFS	R$ 975,51	Ativa
01/11/2022	Empréstimo 	Sicredi 	R$ 1.200,00	Ativa
01/11/2022	Salário	Seduc		Ativa
01/11/2022	13°	IFS	R$ 2.829,06	Ativa
01/01/2024	Salário	IFS	R$ 4.817,00	Ativa
10/10/2024	Empréstimo 	Recarga Pay	R$ 2.000,00	Ativa
01/10/2024	Salário	IFS	R$ 4.380,00	Ativa
01/10/2024	Salário	Seduc	R$ 4.850,00	Ativa
01/09/2024	Salário	IFS	R$ 4.380,00	Ativa
01/08/2024	Salário	IFS	R$ 4.090,00	Ativa
01/07/2024	Salário	IFS	R$ 4.662,00	Ativa
01/06/2024	Salário	IFS	R$ 4.653,00	Ativa
01/05/2024	Salário	IFS	R$ 3.246,00	Ativa
01/04/2024	Salário	IFS	R$ 3.768,00	Ativa
01/03/2024	Salário	IFS	R$ 10.129,00	Ativa
01/02/2024	Salário	IFS	R$ 4.593,00	Ativa
01/01/2024	Salário	IFS	R$ 4.582,00	Ativa
01/11/2024	Salário	IFS	R$ 4.817,00	Ativa
01/12/2024	Salário	IFS	R$ 6.024,00	Ativa
01/01/2025	Salário	IFS	R$ 6.307,00	Ativa
13/01/2025	Empréstimo 	Recarga Pay	R$ 2.500,00	Ativa
01/01/2023	Salário	Seduc	R$ 5.376,00	
01/01/2025	Salário	Seduc	R$ 8.705,91	
01/12/2024	Salário	Seduc	R$ 8.705,91	
01/11/2024	Salário	Seduc	R$ 8.705,91	